method,method_family,preference_name,hyperparameter_id,hyperparameters_json,runtime_seconds,peak_memory_mb,solver_iterations,solver_success,num_objectives,coefficient_dimension,output_lambda_sum,output_lambda_min,output_lambda_max
direct_preference,baseline,balanced,default,{},0.0001520660,0.0008840561,0.0000000000,True,5.0000000000,5.0000000000,1.0000000000,0.2000000000,0.2000000000
uniform,baseline,balanced,default,{},0.0000238710,0.0002746582,0.0000000000,True,5.0000000000,5.0000000000,1.0000000000,0.2000000000,0.2000000000
M1,MGDA-inspired,balanced,rho_0p1,"{""rho"": 0.1}",1.5173200010,21.0973625183,,True,5.0000000000,5.0000000000,1.0000000000,0.1317975681,0.2667674335
M1,MGDA-inspired,balanced,rho_1,"{""rho"": 1.0}",0.0154424890,0.0171308517,,True,5.0000000000,5.0000000000,1.0000000000,0.1776483498,0.2264139660
M1,MGDA-inspired,balanced,rho_10,"{""rho"": 10.0}",0.0117994920,0.0168066025,,True,5.0000000000,5.0000000000,1.0000000000,0.1969620207,0.2037419930
M2,MGDA-inspired,balanced,rho_0p1,"{""rho"": 0.1}",0.0159553060,0.0173788071,,True,5.0000000000,5.0000000000,1.0000000000,0.1891709171,0.2131436559
M2,MGDA-inspired,balanced,rho_1,"{""rho"": 1.0}",0.0109976400,0.0174818039,,True,5.0000000000,5.0000000000,1.0000000000,0.1987539518,0.2015395347
M2,MGDA-inspired,balanced,rho_10,"{""rho"": 10.0}",0.0081613540,0.0172376633,,True,5.0000000000,5.0000000000,1.0000000000,0.1998734857,0.2001566380
C1,CAGrad-inspired,balanced,c_0p25__eps_1em08,"{""c"": 0.25, ""eps"": 1e-08}",0.0274209410,0.0221557617,,True,5.0000000000,5.0000000000,1.0000000000,0.1012164927,0.2798393570
C1,CAGrad-inspired,balanced,c_0p5__eps_1em08,"{""c"": 0.5, ""eps"": 1e-08}",0.0251581630,0.0205650330,,True,5.0000000000,5.0000000000,1.0000000000,0.1012164927,0.2798393570
C1,CAGrad-inspired,balanced,c_1__eps_1em08,"{""c"": 1.0, ""eps"": 1e-08}",0.0251799300,0.0204906464,,True,5.0000000000,5.0000000000,1.0000000000,0.1012164927,0.2798393570
C2,CAGrad-inspired,balanced,rho_0p1__tau_0p05,"{""rho"": 0.1, ""tau"": 0.05}",0.0415492040,0.0167741776,,True,5.0000000000,5.0000000000,1.0000000000,0.1415358378,0.2431399411
C2,CAGrad-inspired,balanced,rho_1__tau_0p05,"{""rho"": 1.0, ""tau"": 0.05}",0.0208087250,0.0169343948,,True,5.0000000000,5.0000000000,1.0000000000,0.1792885392,0.2209150761
C2,CAGrad-inspired,balanced,rho_0p1__tau_0p1,"{""rho"": 0.1, ""tau"": 0.1}",0.0485842070,0.0171718597,,True,5.0000000000,5.0000000000,1.0000000000,0.1416175559,0.3094466545
C2,CAGrad-inspired,balanced,rho_1__tau_0p1,"{""rho"": 1.0, ""tau"": 0.1}",0.0235120420,0.0169324875,,True,5.0000000000,5.0000000000,1.0000000000,0.1901489633,0.2174187237
C2,CAGrad-inspired,balanced,rho_0p1__tau_0p2,"{""rho"": 0.1, ""tau"": 0.2}",0.0488999280,0.0167436600,,True,5.0000000000,5.0000000000,1.0000000000,0.1452260458,0.3851343378
C2,CAGrad-inspired,balanced,rho_1__tau_0p2,"{""rho"": 1.0, ""tau"": 0.2}",0.0362011880,0.0169839859,,True,5.0000000000,5.0000000000,1.0000000000,0.1843778945,0.2301588549
P1,PCGrad-inspired,balanced,beta_0p5,"{""beta"": 0.5}",0.0003853870,0.0058135986,0.0000000000,True,5.0000000000,5.0000000000,1.0000000000,0.2000000000,0.2000000000
P1,PCGrad-inspired,balanced,beta_1,"{""beta"": 1.0}",0.0002554430,0.0058593750,0.0000000000,True,5.0000000000,5.0000000000,1.0000000000,0.2000000000,0.2000000000
P1,PCGrad-inspired,balanced,beta_2,"{""beta"": 2.0}",0.0002489000,0.0058593750,0.0000000000,True,5.0000000000,5.0000000000,1.0000000000,0.2000000000,0.2000000000
P2,PCGrad-inspired,balanced,eps_1em08__rho_0p1,"{""eps"": 1e-08, ""rho"": 0.1}",0.0049102220,0.0168924332,,True,5.0000000000,5.0000000000,1.0000000000,0.2000000000,0.2000000000
P2,PCGrad-inspired,balanced,eps_1em08__rho_1,"{""eps"": 1e-08, ""rho"": 1.0}",0.0048474980,0.0165414810,,True,5.0000000000,5.0000000000,1.0000000000,0.2000000000,0.2000000000
P2,PCGrad-inspired,balanced,eps_1em08__rho_10,"{""eps"": 1e-08, ""rho"": 10.0}",0.0048166600,0.0165185928,,True,5.0000000000,5.0000000000,1.0000000000,0.2000000000,0.2000000000
direct_preference,baseline,quality_focused,default,{},0.0000801980,0.0008840561,0.0000000000,True,5.0000000000,5.0000000000,1.0000000000,0.1000000000,0.3500000000
uniform,baseline,quality_focused,default,{},0.0000167300,0.0002975464,0.0000000000,True,5.0000000000,5.0000000000,1.0000000000,0.2000000000,0.2000000000
M1,MGDA-inspired,quality_focused,rho_0p1,"{""rho"": 0.1}",0.0298807220,0.0171995163,,True,5.0000000000,5.0000000000,1.0000000000,0.1385638228,0.2618768192
M1,MGDA-inspired,quality_focused,rho_1,"{""rho"": 1.0}",0.0175570990,0.0164728165,,True,5.0000000000,5.0000000000,1.0000000000,0.1324800041,0.3006756514
M1,MGDA-inspired,quality_focused,rho_10,"{""rho"": 10.0}",0.0156957240,0.0164270401,,True,5.0000000000,5.0000000000,1.0000000000,0.1076870510,0.3434306001
M2,MGDA-inspired,quality_focused,rho_0p1,"{""rho"": 0.1}",0.0212561550,0.0170583725,,True,5.0000000000,5.0000000000,1.0000000000,0.0453333021,0.2613958281
M2,MGDA-inspired,quality_focused,rho_1,"{""rho"": 1.0}",0.0111200150,0.0167818069,,True,5.0000000000,5.0000000000,1.0000000000,0.1128891611,0.3146920509
M2,MGDA-inspired,quality_focused,rho_10,"{""rho"": 10.0}",0.0120742620,0.0168313980,,True,5.0000000000,5.0000000000,1.0000000000,0.1013060949,0.3464116339
C1,CAGrad-inspired,quality_focused,c_0p25__eps_1em08,"{""c"": 0.25, ""eps"": 1e-08}",0.0412369880,0.0215206146,,True,5.0000000000,5.0000000000,1.0000000000,0.1012164927,0.2798393570
