method,method_family,preference_name,hyperparameter_id,hyperparameters_json,runtime_seconds,peak_memory_mb,solver_iterations,solver_success,num_objectives,coefficient_dimension,output_lambda_sum,output_lambda_min,output_lambda_max
direct_preference,baseline,balanced,default,{},0.0008851000,0.0008840561,0.0000000000,True,5.0000000000,5.0000000000,1.0000000000,0.2000000000,0.2000000000
uniform,baseline,balanced,default,{},0.0000120000,0.0002288818,0.0000000000,True,5.0000000000,5.0000000000,1.0000000000,0.2000000000,0.2000000000
M1,MGDA-inspired,balanced,rho_0p1,"{""rho"": 0.1}",13.2503153000,20.3025903702,,True,5.0000000000,5.0000000000,1.0000000000,0.1317975685,0.2667674251
M1,MGDA-inspired,balanced,rho_1,"{""rho"": 1.0}",0.0056443000,0.0165433884,,True,5.0000000000,5.0000000000,1.0000000000,0.1776483488,0.2264139684
M1,MGDA-inspired,balanced,rho_10,"{""rho"": 10.0}",0.0060579000,0.0164480209,,True,5.0000000000,5.0000000000,1.0000000000,0.1969620207,0.2037419930
M2,MGDA-inspired,balanced,rho_0p1,"{""rho"": 0.1}",0.0115440000,0.0171308517,,True,5.0000000000,5.0000000000,1.0000000000,0.1891709118,0.2131436587
M2,MGDA-inspired,balanced,rho_1,"{""rho"": 1.0}",0.0067174000,0.0169706345,,True,5.0000000000,5.0000000000,1.0000000000,0.1987539519,0.2015395346
M2,MGDA-inspired,balanced,rho_10,"{""rho"": 10.0}",0.0044472001,0.0168008804,,True,5.0000000000,5.0000000000,1.0000000000,0.1998734857,0.2001566380
C1,CAGrad-inspired,balanced,c_0p25__eps_1em08,"{""c"": 0.25, ""eps"": 1e-08}",0.0229060000,0.0219039917,,True,5.0000000000,5.0000000000,1.0000000000,0.1012164927,0.2798393570
C1,CAGrad-inspired,balanced,c_0p5__eps_1em08,"{""c"": 0.5, ""eps"": 1e-08}",0.0209342999,0.0210704803,,True,5.0000000000,5.0000000000,1.0000000000,0.1012164927,0.2798393570
C1,CAGrad-inspired,balanced,c_1__eps_1em08,"{""c"": 1.0, ""eps"": 1e-08}",0.0131646000,0.0210704803,,True,5.0000000000,5.0000000000,1.0000000000,0.1012164927,0.2798393570
C2,CAGrad-inspired,balanced,rho_0p1__tau_0p05,"{""rho"": 0.1, ""tau"": 0.05}",0.0179583001,0.0178499222,,True,5.0000000000,5.0000000000,1.0000000000,0.1415357791,0.2431400192
C2,CAGrad-inspired,balanced,rho_1__tau_0p05,"{""rho"": 1.0, ""tau"": 0.05}",0.0089909000,0.0164461136,,True,5.0000000000,5.0000000000,1.0000000000,0.1792884736,0.2209150687
C2,CAGrad-inspired,balanced,rho_0p1__tau_0p1,"{""rho"": 0.1, ""tau"": 0.1}",0.0216941000,0.0182352066,,True,5.0000000000,5.0000000000,1.0000000000,0.1416175899,0.3094466041
C2,CAGrad-inspired,balanced,rho_1__tau_0p1,"{""rho"": 1.0, ""tau"": 0.1}",0.0101230000,0.0163927078,,True,5.0000000000,5.0000000000,1.0000000000,0.1901489522,0.2174187363
C2,CAGrad-inspired,balanced,rho_0p1__tau_0p2,"{""rho"": 0.1, ""tau"": 0.2}",0.0252072000,0.0177965164,,True,5.0000000000,5.0000000000,1.0000000000,0.1452260682,0.3851341672
C2,CAGrad-inspired,balanced,rho_1__tau_0p2,"{""rho"": 1.0, ""tau"": 0.2}",0.0184904000,0.0169191360,,True,5.0000000000,5.0000000000,1.0000000000,0.1843779058,0.2301588771
P1,PCGrad-inspired,balanced,beta_0p5,"{""beta"": 0.5}",0.0001824000,0.0058593750,0.0000000000,True,5.0000000000,5.0000000000,1.0000000000,0.2000000000,0.2000000000
P1,PCGrad-inspired,balanced,beta_1,"{""beta"": 1.0}",0.0001271000,0.0058593750,0.0000000000,True,5.0000000000,5.0000000000,1.0000000000,0.2000000000,0.2000000000
P1,PCGrad-inspired,balanced,beta_2,"{""beta"": 2.0}",0.0001253000,0.0058593750,0.0000000000,True,5.0000000000,5.0000000000,1.0000000000,0.2000000000,0.2000000000
P2,PCGrad-inspired,balanced,eps_1em08__rho_0p1,"{""eps"": 1e-08, ""rho"": 0.1}",0.0028523001,0.0167732239,,True,5.0000000000,5.0000000000,1.0000000000,0.2000000000,0.2000000000
P2,PCGrad-inspired,balanced,eps_1em08__rho_1,"{""eps"": 1e-08, ""rho"": 1.0}",0.0022496000,0.0164976120,,True,5.0000000000,5.0000000000,1.0000000000,0.2000000000,0.2000000000
P2,PCGrad-inspired,balanced,eps_1em08__rho_10,"{""eps"": 1e-08, ""rho"": 10.0}",0.0024427001,0.0164976120,,True,5.0000000000,5.0000000000,1.0000000000,0.2000000000,0.2000000000
direct_preference,baseline,quality_focused,default,{},0.0000451000,0.0008840561,0.0000000000,True,5.0000000000,5.0000000000,1.0000000000,0.1000000000,0.3500000000
uniform,baseline,quality_focused,default,{},0.0000101001,0.0002517700,0.0000000000,True,5.0000000000,5.0000000000,1.0000000000,0.2000000000,0.2000000000
M1,MGDA-inspired,quality_focused,rho_0p1,"{""rho"": 0.1}",0.0208283000,0.0162725449,,True,5.0000000000,5.0000000000,1.0000000000,0.1385638150,0.2618768272
M1,MGDA-inspired,quality_focused,rho_1,"{""rho"": 1.0}",0.0113264000,0.0161390305,,True,5.0000000000,5.0000000000,1.0000000000,0.1324800039,0.3006756519
M1,MGDA-inspired,quality_focused,rho_10,"{""rho"": 10.0}",0.0081930000,0.0159349442,,True,5.0000000000,5.0000000000,1.0000000000,0.1076870509,0.3434306002
M2,MGDA-inspired,quality_focused,rho_0p1,"{""rho"": 0.1}",0.0103768000,0.0164499283,,True,5.0000000000,5.0000000000,1.0000000000,0.0453333067,0.2613958265
M2,MGDA-inspired,quality_focused,rho_1,"{""rho"": 1.0}",0.0091209001,0.0164728165,,True,5.0000000000,5.0000000000,1.0000000000,0.1128891611,0.3146920508
M2,MGDA-inspired,quality_focused,rho_10,"{""rho"": 10.0}",0.0099812000,0.0164728165,,True,5.0000000000,5.0000000000,1.0000000000,0.1013060950,0.3464116339
C1,CAGrad-inspired,quality_focused,c_0p25__eps_1em08,"{""c"": 0.25, ""eps"": 1e-08}",0.0211045999,0.0203933716,,True,5.0000000000,5.0000000000,1.0000000000,0.1012164927,0.2798393570
C1,CAGrad-inspired,quality_focused,c_0p5__eps_1em08,"{""c"": 0.5, ""eps"": 1e-08}",0.0228239000,0.0201492310,,True,5.0000000000,5.0000000000,1.0000000000,0.1012164927,0.2798393570
C1,CAGrad-inspired,quality_focused,c_1__eps_1em08,"{""c"": 1.0, ""eps"": 1e-08}",0.0258696000,0.0201492310,,True,5.0000000000,5.0000000000,1.0000000000,0.1012164927,0.2798393570
C2,CAGrad-inspired,quality_focused,rho_0p1__tau_0p05,"{""rho"": 0.1, ""tau"": 0.05}",0.0287211000,0.0161828995,,True,5.0000000000,5.0000000000,1.0000000000,0.1095228193,0.2982052214
C2,CAGrad-inspired,quality_focused,rho_1__tau_0p05,"{""rho"": 1.0, ""tau"": 0.05}",0.0302564000,0.0161828995,,True,5.0000000000,5.0000000000,1.0000000000,0.1152482440,0.3249734634
C2,CAGrad-inspired,quality_focused,rho_0p1__tau_0p1,"{""rho"": 0.1, ""tau"": 0.1}",0.0280521000,0.0163049698,,True,5.0000000000,5.0000000000,1.0000000000,0.0971011958,0.3816549132
C2,CAGrad-inspired,quality_focused,rho_1__tau_0p1,"{""rho"": 1.0, ""tau"": 0.1}",0.0151404000,0.0163049698,,True,5.0000000000,5.0000000000,1.0000000000,0.1310443212,0.3464096863
C2,CAGrad-inspired,quality_focused,rho_0p1__tau_0p2,"{""rho"": 0.1, ""tau"": 0.2}",0.0315005000,0.0163049698,,True,5.0000000000,5.0000000000,1.0000000000,0.1022168753,0.4743869622
C2,CAGrad-inspired,quality_focused,rho_1__tau_0p2,"{""rho"": 1.0, ""tau"": 0.2}",0.0258897000,0.0163049698,,True,5.0000000000,5.0000000000,1.0000000000,0.1038344111,0.3663486934
P1,PCGrad-inspired,quality_focused,beta_0p5,"{""beta"": 0.5}",0.0006454000,0.0058593750,0.0000000000,True,5.0000000000,5.0000000000,1.0000000000,0.1000000000,0.3500000000
P1,PCGrad-inspired,quality_focused,beta_1,"{""beta"": 1.0}",0.0005489000,0.0058593750,0.0000000000,True,5.0000000000,5.0000000000,1.0000000000,0.1000000000,0.3500000000
P1,PCGrad-inspired,quality_focused,beta_2,"{""beta"": 2.0}",0.0003261000,0.0058593750,0.0000000000,True,5.0000000000,5.0000000000,1.0000000000,0.1000000000,0.3500000000
P2,PCGrad-inspired,quality_focused,eps_1em08__rho_0p1,"{""eps"": 1e-08, ""rho"": 0.1}",0.0053454000,0.0167322159,,True,5.0000000000,5.0000000000,1.0000000000,0.1000000000,0.3500000000
P2,PCGrad-inspired,quality_focused,eps_1em08__rho_1,"{""eps"": 1e-08, ""rho"": 1.0}",0.0040161001,0.0163660049,,True,5.0000000000,5.0000000000,1.0000000000,0.1000000000,0.3500000000
P2,PCGrad-inspired,quality_focused,eps_1em08__rho_10,"{""eps"": 1e-08, ""rho"": 10.0}",0.0020340000,0.0163660049,,True,5.0000000000,5.0000000000,1.0000000000,0.1000000000,0.3500000000
direct_preference,baseline,detailed_answer,default,{},0.0000402000,0.0008840561,0.0000000000,True,5.0000000000,5.0000000000,1.0000000000,0.1500000000,0.2500000000
uniform,baseline,detailed_answer,default,{},0.0000077001,0.0002517700,0.0000000000,True,5.0000000000,5.0000000000,1.0000000000,0.2000000000,0.2000000000
